COG,genes
COG0012,GTP1
COG0016,PheS
COG0018,ArgS
COG0048,RpsL
COG0049,RpsG
COG0052,RpsB
COG0060,IleS
COG0080,RplK
COG0081,RplA
COG0085,RpoB
COG0087,RplC
COG0091,RplV
COG0092,RpsC
COG0093,RplN
COG0094,RplE
COG0096,RpsH
COG0097,RplF
COG0098,RpsE
COG0099,RpsM
COG0100,RpsK
COG0102,RplM
COG0103,RpsI
COG0124,HisS
COG0143,MetG
COG0172,SerS
COG0184,RpsO
COG0186,RpsQ
COG0197,RplP
COG0200,RplO
COG0201,SecY
COG0202,RpoA
COG0256,RplR
COG0495,LeuS
COG0522,RpsD
COG0525,ValS
COG0533,TsaD
