taxa
Mycolicibacterium smegmatis (strain ATCC 700084 / mc(2)155)
Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / M
Escherichia coli (strain K12)
Escherichia coli (strain K12)
Escherichia coli (strain K12)
Escherichia coli (strain K12)
Escherichia coli (strain K12)
Escherichia coli (strain K12)
Escherichia coli (strain K12)
Lactobacillus acidophilus (strain ATCC 700396 /
Lactobacillus acidophilus (strain ATCC 700396 /
Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCU
Pseudomonas fluorescens HK44
Bacteroides fragilis str. 3988T(B)14
Bacteroides fragilis str. 3988T(B)14
Bacteroides fragilis str. 3988T(B)14
Bacteroides fragilis str. 3988T(B)14
Bacteroides fragilis str. 3988T(B)14
Bacteroides fragilis str. 3988T(B)14
Bacteroides fragilis str. 3988T(B)14
Pseudomonas knackmussii (strain DSM 6978 / LM
Raoultella ornithinolytica
Enterococcus faecalis 918
Enterococcus faecalis 918
Enterococcus faecalis 918
Klebsiella pneumoniae
Pseudomonas aeruginosa
Mangrovibacter sp. MFB070
Pseudomonas aeruginosa
Pseudomonas aeruginosa
Citrobacter koseri
Endozoicomonas elysicola
Bacteroides fragilis
Morganella morganii
Morganella morganii
Morganella morganii
Morganella morganii
Morganella morganii
Morganella morganii
Morganella morganii
Morganella morganii
Morganella morganii
Morganella morganii
Clostridium butyricum
Clostridium butyricum
Clostridium butyricum
Clostridium butyricum
Clostridium butyricum
Clostridium butyricum
Clostridium butyricum
Clostridium butyricum
Clostridium butyricum
Clostridium beijerinckii
Clostridium beijerinckii
Klebsiella variicola
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus helveticus
Lactobacillus acetotolerans
Citrobacter freundii
Lactobacillus kimbladii
Klebsiella michiganensis
Clostridium homopropionicum DSM 5847
Enterococcus sp. RIT-
Clostridium butyricum
Clostridium butyricum
Clostridium butyricum
Lactobacillus gallinarum DSM 10532
Lactobacillus kefiranofaciens subsp. kefirgranum DSM 10550
Lactobacillus kefiranofaciens subsp. kefirgranum DSM 10550
Lactobacillus kitasatonis DSM 16761
Enterococcus gallinarum
Enterococcus gallinarum
Enterococcus gallinarum
Lactobacillus crispatus
Lactobacillus crispatus
Enterococcus gallinarum
Pseudomonas aeruginosa
Pseudomonas aeruginosa
Kluyvera georgiana ATCC 51603
Veronia pacifica
secondary endosymbiont of Trabutina mannipara
Prevotella communis
Bacteroides luti
Bacteroides stercorirosoris
uncultured Citrobacter sp
Hydrogenophilales bacterium 16-61-112
Marinimicrobia bacterium
Clostridium butyricum
Clostridium butyricum
Helicobacter apodemus
Pseudomonas aeruginosa
Pseudomonas aeruginosa
Melissococcus plutonius
Enterobacter asburiae
Bacteroides acidifaciens
Pseudomonas syringae pv. solidagae
Morganella morganii
Clostridium tagluense
Morganella morganii
Morganella morganii
Morganella morganii
Morganella morganii
Lactobacillus xujianguonis
Ruoffia tabacinasalis
Defluviicoccus vanus
Escherichia albertii
Lactobacillus acidophilus
Lactobacillus acidophilus
Lactobacillus acidophilus
Lactobacillus acidophilus
Actinomycetota bacterium
Ligilactobacillus ruminis (strain ATCC 27782 / RF3)
Salmonella enterica subsp. enterica serovar Montevideo str. S5-403
Clostridium butyricum D
Escherichia coli (strain K12)
Pseudomonas aeruginosa
Klebsiella variicola
Streptococcus sinensis
Morganella morganii
Enterobacter cloacae
Pseudomonas flexibilis
Clostridium scatologenes
Klebsiella aerogenes
Schleiferilactobacillus perolens DSM 12744
Lactobacillus kefiranofaciens subsp. kefirgranum DSM 10550
Enterococcus gallinarum
Bacteroides luti
Morganella morganii
bacterium HR32
Aliidiomarina minuta
Paraprevotella clara
Enterococcus faecalis 918
Enterococcus faecalis 918
Morganella morganii
Corynebacterium riegelii
Amylolactobacillus amylotrophicus DSM 20534
Lactobacillus kefiranofaciens subsp. kefirgranum DSM 10550
Lactobacillus gasseri
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CI
Pseudomonas knackmussii (strain DSM 6978 / LM
Enterococcus faecalis 918
Enterococcus faecalis 918
Klebsiella pneumoniae
Klebsiella variicola
Lactobacillus helveticus
Fulvimonas soli
Aliidiomarina maris
Aliidiomarina taiwanensis
Thiothrix sp
Enterococcus faecalis (strain ATCC 700802 / V583)
Enterococcus faecalis 918
Clostridium butyricum
Enterococcus sp. RIT-
Lactobacillus taiwanensis DSM 21401
Kluyvera cryocrescens
Atlantibacter hermannii
Arsenophonus nasoniae
Candidatus Sodalis pierantonius str. S
Latilactobacillus sakei
Pseudomonas flexibilis
Enterococcus cecorum
Lactobacillus kitasatonis DSM 16761
Aerococcus sanguinicola
Plesiomonas shigelloides
Actinobacillus delphinicola
Jejubacter calystegiae
Lactobacillus iners
Proteus mirabilis (strain HI4320)
Bacteroides fragilis str. 3998T(B)3
Enterococcus faecalis 918
Enterococcus gallinarum
Enterococcus gallinarum
Morganella psychrotolerans
bacterium BMS3Bbin07
Citrobacter tructae
Arsenophonus endosymbiont of Aphis craccivora
Edwardsiella piscicida
Citrobacter freundii
Candidatus Regiella insecticola
Clostridium butyricum
Lactobacillus intestinalis
Bacillus mesophilus
Lactobacillus helveticus
Escherichia coli (strain K12)
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CI
Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 /
Lactobacillus rodentium
Vagococcus salmoninarum
Citrobacter freundii
Acetanaerobacterium elongatum
Candidatus Hamiltonella defensa
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CI
Citrobacter freundii
Lactobacillus kefiranofaciens subsp. kefirgranum DSM 10550
Thomasclavelia cocleata
Izhakiella capsodis
Sodalis sp. TM
Candidatus Regiella insecticola
Virgibacillus sp. SK37
Morganella morganii
Morganella morganii
Liquorilactobacillus oeni DSM 19972
Nitratidesulfovibrio sp. HK-II
Raoultella ornithinolytica
Aliikangiella marina
Pectobacterium fontis
Enterobacter cloacae
Ligilactobacillus acidipiscis
Lactococcus fujiensis JCM 16395
Shewanella sp. cp20
Thalassomonas viridans
Enterococcus sp. RIT-
endosymbiont of Ridgeia piscesae
Candidatus
Clostridium saccharobutylicum
Alloprevotella rava
Enterococcus faecalis 918
Franconibacter pulveris
Clostridium thermobutyricum DSM 4928
Methylococcaceae bacterium TM
Candidatus
Enterobacteriaceae endosymbiont of
Anaerotruncus colihominis
Hansschlegelia quercus
Ilyomonas limi
Clostridium beijerinckii
Lactobacillus kitasatonis DSM 16761
Marinospirillum celere
Enterococcus sp. RIT-
Bacteroides sp. 3_1_13
Marinobacter mobilis
Leucothrix arctica
Desulfosarcina widdelii
Actinobacillus delphinicola
